Sample	posterior	likelihood	prior	treeLikelihood.H3N2	structuredCoalescent.t:H3N2	Ne.Hong_Kong	Ne.New_York	Ne.New_Zealand	b_migration.Hong_Kong_to_New_York	b_migration.Hong_Kong_to_New_Zealand	b_migration.New_York_to_Hong_Kong	b_migration.New_York_to_New_Zealand	b_migration.New_Zealand_to_Hong_Kong	b_migration.New_Zealand_to_New_York	clockRate.c:H3N2	kappa.s:H3N2	gammaShape.s:H3N2
25000	-1948.8053431292699	-1907.233391462172	-41.57195166709787	-1907.233391462172	-35.194145210571236	0.331618	0.581085	1.667782	2.694267	0.661835	3.929520	0.348860	0.422720	0.471903	0.004923186816924105	4.7576813761616785	0.5339838545617788
27500	-1941.3510799335568	-1901.7884857761474	-39.56259415740937	-1901.7884857761474	-34.43223798911647	1.109872	0.298538	0.946928	0.865614	0.539321	2.736135	0.664748	0.793650	0.834573	0.004908571925864481	6.2986076648564975	1.0261247679974277
30000	-1942.6327173408415	-1905.189913776728	-37.44280356411361	-1905.189913776728	-34.22891970300137	0.686394	1.259608	0.173264	0.453165	0.857150	1.761332	0.685394	0.495977	0.627443	0.0050904434259810925	5.861235959695154	0.6242498594290221
32500	-1946.1134051852252	-1908.9865419364828	-37.126863248742445	-1908.9865419364828	-31.959743272355112	1.193506	0.525879	0.271283	1.513746	0.501268	2.898680	0.946439	0.356305	0.703219	0.0050874805514143796	5.830884695464923	1.005012255685165
35000	-1953.0499158519394	-1906.6510588905585	-46.398856961380936	-1906.6510588905585	-34.15657845493383	1.513875	8.398837	0.260910	1.434458	0.052545	4.963269	0.870120	0.081623	2.429173	0.004974571128052988	4.334309104463097	0.7828864944925005
37500	-1942.6913620762211	-1903.8098464276532	-38.8815156485679	-1903.8098464276532	-34.653129721048764	0.561200	1.526221	1.065477	1.166184	0.289786	1.933289	0.726595	0.019863	0.918154	0.00484699111145562	4.784894691474428	0.5618645115724233
40000	-1932.1973029187882	-1898.3939220202644	-33.80338089852367	-1898.3939220202644	-30.35899753881145	0.388823	2.185757	0.566240	0.107118	0.622790	1.598480	0.527055	0.013897	1.246544	0.004853911037231308	6.5607860797977136	0.3421382717389784
42500	-1936.6787800305665	-1908.3400333907182	-28.33874663984822	-1908.3400333907182	-27.260396819100688	0.421491	1.457507	0.301329	0.434096	0.562080	1.106092	0.231275	0.275415	0.612632	0.004922446424516196	6.5607860797977136	0.3421382717389784
45000	-1947.436358861663	-1904.567243861809	-42.86911499985399	-1904.567243861809	-36.348820078755104	1.935654	1.475261	0.159302	0.425541	1.274659	1.296935	0.770758	0.485019	2.601186	0.004911922453337677	6.306021776850166	0.4094963425995391
47500	-1940.7358686399689	-1903.9382375334071	-36.79763110656172	-1903.9382375334071	-31.6037598568288	0.904477	0.942618	0.389208	1.020753	1.150908	2.526410	1.298467	0.891814	0.796329	0.005017727843463521	6.989347679408365	0.30731333344482126
50000	-1951.1977772189455	-1909.4291636531746	-41.76861356577089	-1909.4291636531746	-33.655646208886	1.518366	0.502806	0.606006	3.728154	0.325292	2.170556	0.493175	0.203861	2.678737	0.004895482101791186	6.747516456274499	0.5075866376047051
52500	-1939.713236049312	-1906.7467367544145	-32.96649929489731	-1906.7467367544145	-25.573256757610988	2.171071	0.692867	0.337996	4.091595	0.346345	0.470424	0.051509	0.840659	0.785555	0.004796506867520871	3.303874459255876	1.6422210529533716
55000	-1943.8682076107889	-1905.2902872946734	-38.57792031611554	-1905.2902872946734	-29.510607790349678	8.867653	0.243161	0.632588	2.733442	0.650369	0.100398	0.334083	0.376680	0.509218	0.00506281041217811	4.729981997558165	3.1097674781218045
57500	-1948.9967599294803	-1907.1320098888805	-41.86475004059973	-1907.1320098888805	-38.002603433891515	0.336403	0.411018	0.716603	1.985166	0.120492	0.254365	0.518496	2.080236	0.095883	0.004919612501480073	5.204274172435596	2.3600051898398897
60000	-1947.003704903607	-1911.0662797111972	-35.93742519240985	-1911.0662797111972	-30.023364606123355	6.060199	0.192163	0.185414	2.175459	0.453841	0.265332	0.052131	0.710610	0.043126	0.005031894637439108	5.204274172435596	1.9002636219531555
62500	-1948.8672472745052	-1907.1411822252776	-41.72606504922771	-1907.1411822252776	-39.14432746132765	0.599428	0.628397	1.370604	1.453560	0.193504	1.385281	0.017683	0.617219	0.085524	0.005082641858527139	5.204274172435596	1.468064002096534
65000	-1937.780855791987	-1901.451196643912	-36.32965914807501	-1901.451196643912	-31.22768287875635	0.518829	1.809424	0.378625	2.023922	0.285403	2.269831	0.061505	1.416150	0.045712	0.005060762719048334	5.680722696781082	1.468064002096534
67500	-1939.5595120795315	-1901.8248562695653	-37.73465580996624	-1901.8248562695653	-35.257755030739624	1.659335	0.716015	0.475571	0.347226	0.553499	1.615726	0.140612	1.266682	0.118917	0.005005968815198048	5.597982400521534	1.0462063527747858
70000	-1940.6503413170585	-1901.446305748465	-39.204035568593454	-1901.446305748465	-35.21306596607345	0.516546	0.999666	1.272842	0.794097	0.832923	3.169662	0.142332	0.206135	0.495155	0.005015025167929968	5.478700873665371	1.0462063527747858
72500	-1949.3533715135554	-1907.054990941314	-42.29838057224157	-1907.054990941314	-35.360421805709784	0.530592	1.813252	0.897877	0.432412	0.055678	0.807864	0.813179	1.131945	1.182968	0.00473919036594901	5.285027561783903	1.461643653005882
75000	-1940.5399412523304	-1905.1577750111214	-35.38216624120893	-1905.1577750111214	-31.93972698413984	1.581281	0.467772	0.290096	0.507435	0.320218	0.614363	0.079934	1.208916	1.569147	0.005023490828916001	5.285027561783903	2.0807074071968295
77500	-1938.1230565915632	-1902.9653599470853	-35.15769664447804	-1902.9653599470853	-30.326646958479163	1.446807	0.692589	0.242333	0.501375	0.143719	1.730516	0.155344	2.748565	0.383488	0.004873907870157555	3.4219725058615116	1.7935640810485587
80000	-1943.5205839071314	-1902.819605588034	-40.700978319097494	-1902.819605588034	-33.97824826674905	5.200925	0.556879	0.302982	2.573933	0.632766	0.382468	0.082663	0.809283	0.396440	0.005083665910405223	5.483650039259878	1.9153721510628272
82500	-1954.4361085240057	-1909.447917209482	-44.98819131452365	-1909.447917209482	-40.785318544100065	6.476976	0.647623	0.359366	0.240400	1.311114	0.770227	0.368814	0.265805	0.570653	0.005050234220691962	3.8419548604924207	0.7842643256570024
85000	-1950.6438724426075	-1911.159886255878	-39.483986186729524	-1911.159886255878	-38.18804719819748	1.233576	0.673780	0.368011	1.016621	0.219740	0.408609	0.122821	0.847229	1.445921	0.004927584810395333	3.8419548604924207	0.5659666027515492
87500	-1937.8667141324458	-1904.6099167599984	-33.25679737244751	-1904.6099167599984	-32.037144910985425	0.310409	0.749952	1.321963	2.526606	0.252507	0.167212	0.385774	0.042964	0.406551	0.004944847080054253	3.8419548604924207	0.7080150799330219
90000	-1953.8280491022272	-1914.4788153241657	-39.34923377806158	-1914.4788153241657	-38.30774911497041	0.589051	0.640351	1.899857	0.495841	0.376802	2.143009	0.229956	0.048445	0.293999	0.004970054131108465	3.690072852391164	0.3534317736118269
92500	-1962.2378696402307	-1911.089942036242	-51.147927603988705	-1911.089942036242	-42.96492809559826	0.752972	0.453578	3.432509	0.686618	1.063756	3.691615	0.409975	0.072017	0.680533	0.004788715789633621	5.751594082830453	0.5374675842942174
95000	-1942.507432812429	-1909.047920063655	-33.45951274877386	-1909.047920063655	-33.068701181872	0.267552	0.567349	0.916270	0.918559	0.087124	0.977925	0.876419	0.469646	0.115550	0.004964910311259781	5.751594082830453	0.28637949154426623
97500	-1959.5888272254979	-1909.9161912677364	-49.67263595776153	-1909.9161912677364	-45.13259350350874	1.718527	1.013567	1.345836	1.762352	0.050214	1.141260	2.297112	0.893959	0.068946	0.005046258650935355	3.528281924092547	0.28637949154426623
100000	-1950.5312924181956	-1912.0945675171688	-38.43672490102669	-1912.0945675171688	-33.87633719030858	0.392615	0.404013	0.699490	2.154613	0.773301	0.563505	2.297112	0.916472	0.005687	0.004903232905282591	9.618277499386314	0.28637949154426623
102500	-1954.7084850043182	-1912.9042464896534	-41.80423851466488	-1912.9042464896534	-37.33267375450898	0.201618	0.365648	3.023540	1.162651	0.653534	0.853988	0.943081	0.492953	0.633521	0.004922267373953359	9.618277499386314	0.148197016649836
105000	-1952.116535864014	-1904.734877475158	-47.38165838885587	-1904.734877475158	-40.13353009002582	0.751844	0.869395	2.024998	1.128385	1.224777	0.942720	0.257704	0.706262	0.787682	0.005237620450073683	9.618277499386314	0.4155014431579123
107500	-1936.4436677934327	-1908.4581806474614	-27.985487145971288	-1908.4581806474614	-26.123587197066247	0.439119	1.028416	0.415200	0.131092	0.182377	0.822010	0.281451	0.146732	2.796369	0.004993302682408277	9.618277499386314	0.06607332962318313
110000	-1947.6207554012904	-1909.813331558629	-37.80742384266145	-1909.813331558629	-38.060477608403076	0.880106	0.607581	0.696815	0.018022	0.056202	0.322670	0.505250	0.678923	0.818203	0.004962350011601092	7.6870837519122635	0.0736369372889881
